userid venueid
32531395 4b41feebf964a52036cb25e3
32531395 4b0141fff964a520ef4122e3
32531395 4ead373b6c250091a22562a4
32531395 4c23af6fc9bbef3b4e13afac
32531395 4c5490a272cf0f4724e8c1d4
32531395 4b710029f964a52013372de3
572280 4b22a3bbf964a520d94a24e3
572280 4adbaabff964a520e62921e3
572280 4ee69c03775ba356dfd3d179
572280 4ad4c04ff964a52018f420e3
572280 43a52546f964a520532c1fe3
572280 4c4dc3d3ea24c9b6fa459d14
572280 4d6d3e88da06a1cdaad8a75b
572280 3fd66200f964a5201fe51ee3
572280 431e2d80f964a52079271fe3
53682806 4bf15631a09076b001d729d4
53682806 41f19780f964a520101f1fe3
53682806 3fd66200f964a520bee71ee3
53682806 4aa6e384f964a520554b20e3
53213012 4b0de634f964a520505223e3
53213012 4ace6c89f964a52078d020e3
53213012 4d420479c65bf04d114b50f4
6850034 4af9a2caf964a520c01222e3
6850034 4ffc8d72e4b0f8e8b05e797c
6850034 4b784cfaf964a5207dc32ee3
6850034 4d8548acf9f3a1cdf6fcc864
6850034 501d3998e4b0ad6cc8c7efae
6850034 4ace6c89f964a52078d020e3
6850034 4cddebf7aba88cfa802b3ed7
6850034 40bd1880f964a520bc001fe3
6850034 4b53c09ff964a5204caa27e3
6850034 49d13e72f964a5206a5b1fe3
6850034 4b64b339f964a5206ec92ae3
6850034 4b9be0def964a520813036e3
6850034 4b047108f964a520315422e3
6850034 4c967de9533aa093cc48d245
6850034 4cddebf7aba88cfa802b3ed7
6850034 4cddebf7aba88cfa802b3ed7
36200458 49de328df964a52031601fe3
36200458 423f6000f964a52060201fe3
36200458 4ad17c3cf964a5208bde20e3
36200458 52001d38498ebd3217fbe9de
17671507 5302af7f498e5e23be237425
17671507 5302af7f498e5e23be237425
337516 4a2ef250f964a5208b981fe3
569593 4bb0cf56f964a520025f3ce3
569593 4b058707f964a520297c22e3
569593 522cebd211d234f14d0378c1
569593 4b1480adf964a520f4a323e3
25677733 4c35d07009a99c74988a0c2a
178380 4b05885cf964a5207cc022e3
8806281 3fd66200f964a5206de51ee3
8806281 40b92400f964a52099001fe3
375229 4c8feb16590ab1f7eff3e27d
375229 52b1373c11d245d455c1bcd9
375229 4b78539df964a520a4c52ee3
375229 4bcb8afeb6c49c7436779291
375229 4c0099c0df6c0f47b2b78b22
375229 4b68b0c9f964a52057872be3
375229 52b1373c11d245d455c1bcd9
375229 5170bf5d498ebc99d34b7a81
375229 520daf3311d2efe5aa9959f4
375229 52b1373c11d245d455c1bcd9
6850034 4af9a2caf964a520c01222e3
6850034 4ffc8d72e4b0f8e8b05e797c
6850034 4bb27dac4019a59341e936b8
6850034 4b4e3e76f964a5209be626e3
6850034 4b784cfaf964a5207dc32ee3
6850034 4d8548acf9f3a1cdf6fcc864
6850034 501d3998e4b0ad6cc8c7efae
6850034 4ace6c89f964a52078d020e3
6850034 4cddebf7aba88cfa802b3ed7
6850034 40bd1880f964a520bc001fe3
6850034 4b53c09ff964a5204caa27e3
6850034 49d13e72f964a5206a5b1fe3
6850034 4b64b339f964a5206ec92ae3
6850034 4b9be0def964a520813036e3
6850034 4b047108f964a520315422e3
6850034 4c967de9533aa093cc48d245
6850034 4cddebf7aba88cfa802b3ed7
6850034 4cddebf7aba88cfa802b3ed7
38557947 4b7b6f54f964a5207a632fe3
80784 4af20953f964a52060e521e3
32395566 4f397a74e4b017ad7d2d5c63
32395566 4eac37bd7ee5cd8bce36ffa3
32395566 4eac37bd7ee5cd8bce36ffa3
32395566 523e0116498ed5f83178a6a4
32395566 523e0116498ed5f83178a6a4
32395566 4b9c2fcbf964a520ce5236e3
32395566 4b9c2fcbf964a520ce5236e3
32395566 4bacaf63f964a520a5033be3
32395566 4eac37bd7ee5cd8bce36ffa3
12265302 4a8ddd40f964a5202c1120e3
62217 510c0d32e4b0470c529f3379
23504 5112c54216489f91a8225bca
